time_label,week,condition,replicate,group,fraction,fraction_or_count,total_events,batch_id
initial_assumption,2,P10,r1,OLIG2-high,0.7,0.7,1000,user_initial_state_fractions
initial_assumption,2,P10,r1,AC,0.14,0.14,1000,user_initial_state_fractions
initial_assumption,2,P10,r1,MES,0.16,0.16,1000,user_initial_state_fractions
initial_assumption,2,P50,r1,OLIG2-high,0.7,0.7,1000,user_initial_state_fractions
initial_assumption,2,P50,r1,AC,0.14,0.14,1000,user_initial_state_fractions
initial_assumption,2,P50,r1,MES,0.16,0.16,1000,user_initial_state_fractions
initial_assumption,2,P250,r1,OLIG2-high,0.7,0.7,1000,user_initial_state_fractions
initial_assumption,2,P250,r1,AC,0.14,0.14,1000,user_initial_state_fractions
initial_assumption,2,P250,r1,MES,0.16,0.16,1000,user_initial_state_fractions
initial_assumption,2,R20,r1,OLIG2-high,0.7,0.7,1000,user_initial_state_fractions
initial_assumption,2,R20,r1,AC,0.14,0.14,1000,user_initial_state_fractions
initial_assumption,2,R20,r1,MES,0.16,0.16,1000,user_initial_state_fractions
initial_assumption,2,R100,r1,OLIG2-high,0.7,0.7,1000,user_initial_state_fractions
initial_assumption,2,R100,r1,AC,0.14,0.14,1000,user_initial_state_fractions
initial_assumption,2,R100,r1,MES,0.16,0.16,1000,user_initial_state_fractions
initial_assumption,2,R500,r1,OLIG2-high,0.7,0.7,1000,user_initial_state_fractions
initial_assumption,2,R500,r1,AC,0.14,0.14,1000,user_initial_state_fractions
initial_assumption,2,R500,r1,MES,0.16,0.16,1000,user_initial_state_fractions
initial_assumption,3,ctrl,r1,OLIG2-high,0.7,0.7,1000,user_initial_state_fractions
initial_assumption,3,ctrl,r1,AC,0.14,0.14,1000,user_initial_state_fractions
initial_assumption,3,ctrl,r1,MES,0.16,0.16,1000,user_initial_state_fractions
initial_assumption,3,P10,r1,OLIG2-high,0.7,0.7,1000,user_initial_state_fractions
initial_assumption,3,P10,r1,AC,0.14,0.14,1000,user_initial_state_fractions
initial_assumption,3,P10,r1,MES,0.16,0.16,1000,user_initial_state_fractions
initial_assumption,3,P50,r1,OLIG2-high,0.7,0.7,1000,user_initial_state_fractions
initial_assumption,3,P50,r1,AC,0.14,0.14,1000,user_initial_state_fractions
initial_assumption,3,P50,r1,MES,0.16,0.16,1000,user_initial_state_fractions
initial_assumption,3,P250,r1,OLIG2-high,0.7,0.7,1000,user_initial_state_fractions
initial_assumption,3,P250,r1,AC,0.14,0.14,1000,user_initial_state_fractions
initial_assumption,3,P250,r1,MES,0.16,0.16,1000,user_initial_state_fractions
initial_assumption,3,R20,r1,OLIG2-high,0.7,0.7,1000,user_initial_state_fractions
initial_assumption,3,R20,r1,AC,0.14,0.14,1000,user_initial_state_fractions
initial_assumption,3,R20,r1,MES,0.16,0.16,1000,user_initial_state_fractions
initial_assumption,3,R100,r1,OLIG2-high,0.7,0.7,1000,user_initial_state_fractions
initial_assumption,3,R100,r1,AC,0.14,0.14,1000,user_initial_state_fractions
initial_assumption,3,R100,r1,MES,0.16,0.16,1000,user_initial_state_fractions
initial_assumption,3,R500,r1,OLIG2-high,0.7,0.7,1000,user_initial_state_fractions
initial_assumption,3,R500,r1,AC,0.14,0.14,1000,user_initial_state_fractions
initial_assumption,3,R500,r1,MES,0.16,0.16,1000,user_initial_state_fractions
initial_assumption,4,ctrl,r1,OLIG2-high,0.7,0.7,1000,user_initial_state_fractions
initial_assumption,4,ctrl,r1,AC,0.14,0.14,1000,user_initial_state_fractions
initial_assumption,4,ctrl,r1,MES,0.16,0.16,1000,user_initial_state_fractions
initial_assumption,4,P10,r1,OLIG2-high,0.7,0.7,1000,user_initial_state_fractions
initial_assumption,4,P10,r1,AC,0.14,0.14,1000,user_initial_state_fractions
initial_assumption,4,P10,r1,MES,0.16,0.16,1000,user_initial_state_fractions
initial_assumption,4,P50,r1,OLIG2-high,0.7,0.7,1000,user_initial_state_fractions
initial_assumption,4,P50,r1,AC,0.14,0.14,1000,user_initial_state_fractions
initial_assumption,4,P50,r1,MES,0.16,0.16,1000,user_initial_state_fractions
initial_assumption,4,P250,r1,OLIG2-high,0.7,0.7,1000,user_initial_state_fractions
initial_assumption,4,P250,r1,AC,0.14,0.14,1000,user_initial_state_fractions
initial_assumption,4,P250,r1,MES,0.16,0.16,1000,user_initial_state_fractions
initial_assumption,4,R20,r1,OLIG2-high,0.7,0.7,1000,user_initial_state_fractions
initial_assumption,4,R20,r1,AC,0.14,0.14,1000,user_initial_state_fractions
initial_assumption,4,R20,r1,MES,0.16,0.16,1000,user_initial_state_fractions
initial_assumption,4,R100,r1,OLIG2-high,0.7,0.7,1000,user_initial_state_fractions
initial_assumption,4,R100,r1,AC,0.14,0.14,1000,user_initial_state_fractions
initial_assumption,4,R100,r1,MES,0.16,0.16,1000,user_initial_state_fractions
initial_assumption,4,R500,r1,OLIG2-high,0.7,0.7,1000,user_initial_state_fractions
initial_assumption,4,R500,r1,AC,0.14,0.14,1000,user_initial_state_fractions
initial_assumption,4,R500,r1,MES,0.16,0.16,1000,user_initial_state_fractions
initial_assumption,5,ctrl,r1,OLIG2-high,0.7,0.7,1000,user_initial_state_fractions
initial_assumption,5,ctrl,r1,AC,0.14,0.14,1000,user_initial_state_fractions
initial_assumption,5,ctrl,r1,MES,0.16,0.16,1000,user_initial_state_fractions
initial_assumption,5,P10,r1,OLIG2-high,0.7,0.7,1000,user_initial_state_fractions
initial_assumption,5,P10,r1,AC,0.14,0.14,1000,user_initial_state_fractions
initial_assumption,5,P10,r1,MES,0.16,0.16,1000,user_initial_state_fractions
initial_assumption,5,P50,r1,OLIG2-high,0.7,0.7,1000,user_initial_state_fractions
initial_assumption,5,P50,r1,AC,0.14,0.14,1000,user_initial_state_fractions
initial_assumption,5,P50,r1,MES,0.16,0.16,1000,user_initial_state_fractions
initial_assumption,5,P250,r1,OLIG2-high,0.7,0.7,1000,user_initial_state_fractions
initial_assumption,5,P250,r1,AC,0.14,0.14,1000,user_initial_state_fractions
initial_assumption,5,P250,r1,MES,0.16,0.16,1000,user_initial_state_fractions
initial_assumption,5,R20,r1,OLIG2-high,0.7,0.7,1000,user_initial_state_fractions
initial_assumption,5,R20,r1,AC,0.14,0.14,1000,user_initial_state_fractions
initial_assumption,5,R20,r1,MES,0.16,0.16,1000,user_initial_state_fractions
initial_assumption,5,R100,r1,OLIG2-high,0.7,0.7,1000,user_initial_state_fractions
initial_assumption,5,R100,r1,AC,0.14,0.14,1000,user_initial_state_fractions
initial_assumption,5,R100,r1,MES,0.16,0.16,1000,user_initial_state_fractions
initial_assumption,5,R500,r1,OLIG2-high,0.7,0.7,1000,user_initial_state_fractions
initial_assumption,5,R500,r1,AC,0.14,0.14,1000,user_initial_state_fractions
initial_assumption,5,R500,r1,MES,0.16,0.16,1000,user_initial_state_fractions
initial_assumption,6,ctrl,r1,OLIG2-high,0.7,0.7,1000,user_initial_state_fractions
initial_assumption,6,ctrl,r1,AC,0.14,0.14,1000,user_initial_state_fractions
initial_assumption,6,ctrl,r1,MES,0.16,0.16,1000,user_initial_state_fractions
initial_assumption,6,P10,r1,OLIG2-high,0.7,0.7,1000,user_initial_state_fractions
initial_assumption,6,P10,r1,AC,0.14,0.14,1000,user_initial_state_fractions
initial_assumption,6,P10,r1,MES,0.16,0.16,1000,user_initial_state_fractions
initial_assumption,6,P50,r1,OLIG2-high,0.7,0.7,1000,user_initial_state_fractions
initial_assumption,6,P50,r1,AC,0.14,0.14,1000,user_initial_state_fractions
initial_assumption,6,P50,r1,MES,0.16,0.16,1000,user_initial_state_fractions
initial_assumption,6,P250,r1,OLIG2-high,0.7,0.7,1000,user_initial_state_fractions
initial_assumption,6,P250,r1,AC,0.14,0.14,1000,user_initial_state_fractions
initial_assumption,6,P250,r1,MES,0.16,0.16,1000,user_initial_state_fractions
initial_assumption,6,R20,r1,OLIG2-high,0.7,0.7,1000,user_initial_state_fractions
initial_assumption,6,R20,r1,AC,0.14,0.14,1000,user_initial_state_fractions
initial_assumption,6,R20,r1,MES,0.16,0.16,1000,user_initial_state_fractions
initial_assumption,6,R100,r1,OLIG2-high,0.7,0.7,1000,user_initial_state_fractions
initial_assumption,6,R100,r1,AC,0.14,0.14,1000,user_initial_state_fractions
initial_assumption,6,R100,r1,MES,0.16,0.16,1000,user_initial_state_fractions
initial_assumption,6,R500,r1,OLIG2-high,0.7,0.7,1000,user_initial_state_fractions
initial_assumption,6,R500,r1,AC,0.14,0.14,1000,user_initial_state_fractions
initial_assumption,6,R500,r1,MES,0.16,0.16,1000,user_initial_state_fractions
